Class: 1, Confidence: 0.99, Box: (304, 143, 24, 35), Color: Red
Class: 1, Confidence: 0.99, Box: (304, 143, 24, 35), Color: Red
Class: 3, Confidence: 0.95, Box: (318, 177, 30, 22), Color: Red
Class: 3, Confidence: 0.97, Box: (327, 176, 27, 27), Color: Red
Class: Reverse, Confidence: 0.95, Box: (227, 176, 27, 20), Color: Red
Class: 3, Confidence: 0.97, Box: (332, 181, 29, 22), Color: Red
Class: 7, Confidence: 0.91, Box: (428, 176, 25, 24), Color: Green
Class: Reverse, Confidence: 0.90, Box: (233, 181, 26, 19), Color: Red
Class: Reverse, Confidence: 0.98, Box: (235, 181, 26, 19), Color: Red
Class: 7, Confidence: 0.96, Box: (431, 176, 27, 22), Color: Green
Class: 3, Confidence: 0.96, Box: (334, 181, 29, 22), Color: Red
Class: 3, Confidence: 0.95, Box: (341, 180, 27, 25), Color: Red
Class: 7, Confidence: 0.92, Box: (437, 176, 28, 22), Color: Green
Class: Reverse, Confidence: 0.91, Box: (242, 180, 24, 25), Color: Red
Class: 3, Confidence: 0.96, Box: (345, 181, 26, 25), Color: Red
Class: 7, Confidence: 0.94, Box: (442, 176, 24, 24), Color: Green
Class: Reverse, Confidence: 0.92, Box: (243, 180, 27, 21), Color: Red
Class: 3, Confidence: 0.96, Box: (347, 179, 26, 25), Color: Red
Class: Reverse, Confidence: 0.95, Box: (246, 177, 23, 25), Color: Red
Class: 7, Confidence: 0.94, Box: (442, 173, 25, 23), Color: Green
Class: 3, Confidence: 0.97, Box: (346, 176, 26, 25), Color: Red
Class: 7, Confidence: 0.94, Box: (442, 170, 29, 22), Color: Green
Class: Reverse, Confidence: 0.90, Box: (243, 175, 27, 21), Color: Red
Class: 3, Confidence: 0.96, Box: (342, 179, 27, 25), Color: Red
Class: Reverse, Confidence: 0.93, Box: (241, 180, 23, 26), Color: Red
Class: 7, Confidence: 0.86, Box: (441, 172, 23, 25), Color: Green
Class: 7, Confidence: 0.97, Box: (443, 169, 29, 21), Color: Green
Class: 3, Confidence: 0.96, Box: (347, 176, 26, 25), Color: Red
Class: Reverse, Confidence: 0.92, Box: (245, 177, 23, 26), Color: Red
Class: 7, Confidence: 0.97, Box: (443, 169, 29, 21), Color: Green
Class: 3, Confidence: 0.96, Box: (347, 176, 26, 25), Color: Red
Class: Reverse, Confidence: 0.93, Box: (245, 177, 23, 26), Color: Red
Class: 7, Confidence: 0.97, Box: (443, 169, 29, 21), Color: Green
Class: 3, Confidence: 0.96, Box: (347, 176, 26, 25), Color: Red
Class: Reverse, Confidence: 0.93, Box: (245, 176, 23, 26), Color: Red
Class: 3, Confidence: 0.96, Box: (347, 178, 26, 25), Color: Red
Class: 7, Confidence: 0.96, Box: (442, 170, 30, 21), Color: Green
Class: Reverse, Confidence: 0.96, Box: (245, 178, 23, 26), Color: Red
Class: 3, Confidence: 0.98, Box: (350, 175, 26, 26), Color: Red
Class: 7, Confidence: 0.97, Box: (445, 168, 29, 20), Color: Green
Class: Reverse, Confidence: 0.96, Box: (250, 174, 22, 27), Color: Red
Class: 3, Confidence: 0.97, Box: (357, 173, 25, 26), Color: Red
Class: Reverse, Confidence: 0.93, Box: (256, 176, 26, 20), Color: Red
Class: 7, Confidence: 0.81, Box: (454, 168, 24, 24), Color: Green
Class: 3, Confidence: 0.96, Box: (356, 174, 26, 26), Color: Red
Class: Reverse, Confidence: 0.94, Box: (258, 173, 22, 28), Color: Red
Class: 7, Confidence: 0.87, Box: (454, 168, 24, 24), Color: Green
Class: Reverse, Confidence: 0.95, Box: (257, 170, 21, 27), Color: Red
Class: 3, Confidence: 0.91, Box: (356, 171, 25, 27), Color: Red
Class: 7, Confidence: 0.86, Box: (454, 166, 24, 24), Color: Green
Class: 3, Confidence: 0.95, Box: (360, 172, 24, 24), Color: Red
Class: 7, Confidence: 0.93, Box: (456, 166, 28, 22), Color: Green
Class: Reverse, Confidence: 0.91, Box: (258, 169, 22, 27), Color: Red
Class: Reverse, Confidence: 0.97, Box: (257, 168, 22, 27), Color: Red
Class: 3, Confidence: 0.96, Box: (358, 171, 24, 24), Color: Red
Class: 7, Confidence: 0.81, Box: (457, 164, 22, 23), Color: Green
Class: 3, Confidence: 0.99, Box: (352, 168, 27, 26), Color: Red
Class: Reverse, Confidence: 0.98, Box: (252, 166, 23, 27), Color: Red
Class: 7, Confidence: 0.94, Box: (450, 162, 28, 21), Color: Green
Class: 3, Confidence: 0.97, Box: (342, 165, 27, 25), Color: Red
Class: 7, Confidence: 0.93, Box: (442, 158, 25, 24), Color: Green
Class: Reverse, Confidence: 0.93, Box: (241, 165, 24, 26), Color: Red
Class: 3, Confidence: 0.98, Box: (326, 156, 27, 27), Color: Red
Class: Reverse, Confidence: 0.96, Box: (224, 159, 23, 27), Color: Red
Class: 7, Confidence: 0.94, Box: (425, 147, 28, 21), Color: Green
Class: 3, Confidence: 0.98, Box: (326, 156, 27, 27), Color: Red
Class: Reverse, Confidence: 0.96, Box: (224, 159, 23, 27), Color: Red
Class: 7, Confidence: 0.94, Box: (425, 147, 28, 21), Color: Green
Class: 7, Confidence: 0.92, Box: (393, 237, 25, 25), Color: Yellow
Class: 7, Confidence: 0.97, Box: (372, 126, 25, 31), Color: Green
